Country_of_Operator,Operator_Owner,Users,Purpose,Class_of_Orbit,Type_of_Orbit,Perigee_km,Apogee_km,Eccentricity,Period_minutes,Launch_Mass_kg,Dry_Mass_kg,Power_watts,Date_of_Launch,Anticipated_Lifetime,Contractor,Country_of_Contractor,Launch_Site,Launch_Vehicle,Source_Used_for_Orbital_Data,longitude_radians_of_geo,Inclination_radians
9.0,298.0,5.0,4.0,1.0,nan,35778.0,35794.0,0.00018999999999999998,1436.1,4715.0,nan,17500.0,39181.0,15.0,70.0,13.0,0.0,98.0,6.0,-2.071531289,0.000174533
9.0,298.0,5.0,4.0,1.0,nan,35773.0,35799.0,0.00031,1436.08,4905.0,nan,17500.0,41379.0,15.0,223.0,47.0,0.0,98.0,24.0,-1.8727382869999998,0.000174533
1.0,9.0,5.0,5.0,2.0,6.0,696.0,764.0,0.00479,99.4,12.0,12.0,nan,38167.0,nan,18.0,0.0,0.0,40.0,36.0,nan,1.7104226669999998
1.0,9.0,5.0,5.0,2.0,6.0,694.0,850.0,0.010920000000000001,100.3,12.0,12.0,nan,38167.0,nan,18.0,0.0,0.0,40.0,36.0,nan,1.713913325
66.0,8.0,5.0,7.0,2.0,6.0,563.0,572.0,0.00065,97.0,12.0,12.0,nan,40023.0,nan,227.0,47.0,0.0,39.0,36.0,nan,1.712167996
66.0,8.0,5.0,7.0,2.0,6.0,604.0,674.0,0.00499,97.5,12.0,12.0,nan,40023.0,nan,227.0,47.0,0.0,39.0,36.0,nan,1.712167996
66.0,8.0,5.0,7.0,2.0,6.0,610.0,694.0,0.00598,97.8,12.0,12.0,nan,40772.0,nan,227.0,47.0,2.0,40.0,36.0,nan,1.713913325
66.0,8.0,5.0,7.0,2.0,6.0,627.0,694.0,0.00476,98.0,12.0,12.0,nan,40772.0,nan,227.0,47.0,2.0,40.0,36.0,nan,1.713913325
66.0,8.0,5.0,7.0,2.0,6.0,594.0,653.0,0.004220000000000001,97.17,12.0,12.0,nan,41599.0,nan,227.0,47.0,2.0,39.0,31.0,nan,1.7069320080000001
66.0,8.0,5.0,7.0,2.0,6.0,594.0,669.0,0.00536,97.99,12.0,12.0,nan,41599.0,nan,227.0,47.0,2.0,39.0,31.0,nan,1.7069320080000001
11.0,2.0,5.0,4.0,1.0,nan,35782.0,35795.0,0.00015,1436.21,1383.0,726.0,nan,34536.0,nan,83.0,47.0,23.0,62.0,8.0,2.47732034,0.113446401
11.0,2.0,5.0,4.0,1.0,nan,35779.0,35790.0,0.00013000000000000002,1436.03,1383.0,726.0,nan,35249.0,nan,83.0,47.0,23.0,62.0,8.0,0.8983209659999999,0.102799893
11.0,2.0,5.0,4.0,1.0,nan,35778.0,35794.0,0.00018999999999999998,1436.08,4680.0,nan,nan,38454.0,nan,9.0,9.0,23.0,64.0,6.0,2.339439329,0.000174533
11.0,2.0,5.0,4.0,1.0,nan,35864.0,35874.0,0.00011999999999999999,1440.31,5054.0,nan,nan,40999.0,15.0,250.0,10.0,23.0,64.0,nan,1.335176878,0.000523599
42.0,10.0,10.0,4.0,1.0,nan,35766.0,35805.0,0.00045999999999999996,1436.06,4630.0,nan,nan,40807.0,15.0,22.0,9.0,3.0,8.0,8.0,0.34889131700000003,0.001047198
42.0,10.0,5.0,4.0,1.0,nan,35778.0,35794.0,0.00018999999999999998,1436.09,3600.0,1700.0,8600.0,36300.0,12.0,140.0,48.0,0.0,96.0,6.0,0.776671517,0.000174533
65.0,201.0,5.0,44.0,2.0,6.0,410.0,415.0,0.00018999999999999998,92.81,1.0,nan,nan,41597.0,0.25,177.0,47.0,4.0,52.0,31.0,nan,0.901462559
13.0,79.0,7.0,9.0,1.0,nan,35771.0,35803.0,0.00037999999999999997,1436.12,3105.0,1500.0,4600.0,37084.0,10.0,13.0,22.0,3.0,9.0,24.0,0.37280232799999996,0.12269664599999999
11.0,16.0,5.0,4.0,1.0,nan,35780.0,35792.0,0.00014,1436.07,3480.0,2500.0,10000.0,36240.0,15.0,31.0,47.0,0.0,97.0,6.0,1.842195025,0.000349066
11.0,16.0,5.0,4.0,1.0,nan,35784.0,35789.0,5.9999999999999995e-05,1436.1,4137.0,2275.0,9500.0,37723.0,15.0,31.0,47.0,1.0,18.0,6.0,2.133490478,0.0
11.0,16.0,5.0,4.0,1.0,nan,35778.0,35795.0,0.0002,1436.11,3760.0,nan,nan,40036.0,15.0,223.0,47.0,0.0,24.0,4.0,1.754055898,0.0
11.0,16.0,5.0,4.0,1.0,nan,35782.0,35793.0,0.00013000000000000002,1436.17,3813.0,nan,nan,40872.0,15.0,223.0,47.0,0.0,98.0,8.0,1.841322361,0.000349066
65.0,0.0,5.0,4.0,1.0,nan,35773.0,35801.0,0.00033,1436.15,2775.0,1530.0,5600.0,36606.0,15.0,9.0,9.0,3.0,9.0,6.0,1.832072116,0.000349066
38.0,258.0,5.0,4.0,1.0,nan,35776.0,35795.0,0.00022999999999999998,1436.08,2924.0,1700.0,3300.0,34639.0,15.0,83.0,47.0,3.0,3.0,6.0,0.5445427270000001,0.020071286
38.0,258.0,5.0,4.0,1.0,nan,35774.0,35799.0,0.0003,1436.13,3014.0,1800.0,4150.0,34991.0,14.0,83.0,47.0,3.0,2.0,6.0,0.409628775,0.000698132
38.0,258.0,5.0,4.0,1.0,nan,35778.0,35797.0,0.00022999999999999998,1436.15,3010.0,1800.0,4400.0,35173.0,15.0,83.0,47.0,0.0,97.0,6.0,0.335452282,0.000523599
38.0,258.0,5.0,4.0,1.0,nan,35780.0,35791.0,0.00013000000000000002,1436.08,3379.0,3010.0,6600.0,35766.0,15.0,83.0,47.0,0.0,97.0,6.0,0.33580134799999994,0.000698132
38.0,258.0,5.0,4.0,1.0,nan,35776.0,35794.0,0.00021,1436.04,3690.0,2300.0,6600.0,36329.0,15.0,83.0,47.0,0.0,96.0,6.0,0.33510321600000004,0.001047198
38.0,258.0,5.0,4.0,1.0,nan,35766.0,35807.0,0.00049,1436.1,4332.0,nan,12000.0,38827.0,15.0,134.0,47.0,1.0,19.0,6.0,0.334405085,0.0013962629999999998
38.0,258.0,5.0,4.0,1.0,nan,35772.0,35798.0,0.00031,1436.03,4500.0,nan,13000.0,39206.0,15.0,134.0,47.0,3.0,8.0,6.0,0.336848546,0.000872665
38.0,258.0,5.0,4.0,1.0,nan,35804.0,35852.0,0.00057,1438.2,5345.0,nan,9900.0,39757.0,15.0,70.0,9.0,0.0,98.0,25.0,0.33510321600000004,0.002443461
38.0,258.0,5.0,4.0,1.0,nan,35715.0,35780.0,0.0007700000000000001,1434.1,5350.0,nan,nan,40761.0,15.0,70.0,9.0,3.0,8.0,29.0,0.492182849,0.002094395
38.0,258.0,5.0,4.0,1.0,nan,35776.0,35797.0,0.00025,1436.12,3635.0,2500.0,7000.0,36037.0,15.0,83.0,47.0,0.0,97.0,6.0,0.491484717,0.0013962629999999998
38.0,258.0,5.0,4.0,1.0,nan,35772.0,35801.0,0.00033999999999999997,1436.11,3315.0,1400.0,7800.0,36783.0,14.0,20.0,12.0,3.0,9.0,6.0,0.492531915,0.00122173
38.0,258.0,5.0,4.0,1.0,nan,35768.0,35804.0,0.00043,1436.12,3643.0,2000.0,7000.0,37058.0,15.0,31.0,47.0,0.0,97.0,6.0,0.492357382,0.00122173
38.0,258.0,5.0,4.0,1.0,nan,35770.0,35802.0,0.00037999999999999997,1436.1,1420.0,700.0,1500.0,36879.0,15.0,83.0,47.0,3.0,9.0,6.0,0.49113565200000003,0.00122173
38.0,258.0,5.0,4.0,1.0,nan,35781.0,35793.0,0.00014,1436.12,6052.0,nan,13000.0,41546.0,15.0,70.0,9.0,0.0,98.0,24.0,0.492182849,0.001919862
38.0,258.0,5.0,4.0,1.0,nan,35777.0,35795.0,0.00021,1436.07,6000.0,2660.0,nan,41180.0,15.0,70.0,12.0,3.0,8.0,24.0,0.492182849,0.001047198
38.0,258.0,5.0,4.0,1.0,nan,35770.0,35804.0,0.0004,1436.07,1500.0,750.0,1500.0,37344.0,10.0,31.0,47.0,3.0,4.0,6.0,0.409803308,0.001047198
38.0,258.0,5.0,4.0,1.0,nan,35768.0,35806.0,0.00045,1436.11,5471.0,nan,10000.0,40319.0,15.0,70.0,13.0,3.0,8.0,24.0,0.410152374,0.0013962629999999998
5.0,167.0,10.0,4.0,1.0,nan,35778.0,35794.0,0.00018999999999999998,1436.08,3250.0,1438.0,nan,41312.0,15.0,200.0,47.0,3.0,8.0,24.0,0.802851456,0.000698132
46.0,236.0,13.0,36.0,2.0,6.0,984.0,1014.0,0.0020399999999999997,105.1,70.0,nan,nan,37235.0,2.0,202.0,31.0,0.0,134.0,36.0,nan,1.731366618
42.0,10.0,10.0,4.0,1.0,nan,35780.0,35791.0,0.00013000000000000002,1436.06,3304.0,1487.0,nan,39029.0,15.0,70.0,13.0,0.0,98.0,6.0,0.454134671,0.00122173
42.0,10.0,10.0,4.0,1.0,nan,35834.0,35883.0,0.00058,1439.76,5420.0,nan,nan,40332.0,15.0,70.0,13.0,0.0,95.0,24.0,0.453785606,0.001047198
42.0,10.0,10.0,4.0,1.0,nan,35605.0,35623.0,0.00021,1427.27,4940.0,nan,nan,40355.0,15.0,70.0,13.0,3.0,8.0,24.0,0.532325422,0.000523599
42.0,10.0,10.0,4.0,1.0,nan,35768.0,35805.0,0.00044,1436.1,3400.0,nan,6000.0,39636.0,15.0,70.0,13.0,3.0,8.0,6.0,0.45518186899999996,0.000872665
23.0,123.0,0.0,44.0,2.0,6.0,709.0,718.0,0.00064,99.0,1.0,nan,nan,40079.0,1.0,248.0,15.0,16.0,79.0,36.0,nan,1.715658655
23.0,123.0,0.0,44.0,2.0,6.0,555.0,579.0,0.00173,96.01,1.0,nan,nan,41383.0,1.0,248.0,15.0,0.0,105.0,31.0,nan,1.130973355
23.0,123.0,0.0,44.0,2.0,6.0,554.0,581.0,0.00195,96.01,1.0,nan,nan,41383.0,1.0,248.0,15.0,0.0,105.0,31.0,nan,1.130973355
11.0,22.0,0.0,12.0,2.0,6.0,681.0,703.0,0.00156,98.6,166.0,155.0,50.0,38652.0,7.0,258.0,6.0,12.0,53.0,36.0,nan,1.7086773380000002
23.0,125.0,11.0,36.0,2.0,6.0,500.0,521.0,0.0015300000000000001,94.8,92.0,77.0,120.0,37186.0,1.5,65.0,15.0,13.0,85.0,36.0,nan,1.7086773380000002
6.0,203.0,10.0,31.0,2.0,nan,503.0,507.0,0.00029,94.7,400.0,110.0,300.0,41112.0,5.0,171.0,33.0,0.0,111.0,36.0,nan,1.7016960209999998
48.0,255.0,5.0,4.0,1.0,nan,35777.0,35795.0,0.00021,1436.09,1452.0,620.0,1500.0,36121.0,12.0,87.0,47.0,1.0,29.0,6.0,0.976337184,0.000523599
8.0,288.0,16.0,4.0,1.0,nan,35776.0,35797.0,0.00025,1436.11,1780.0,1050.0,1800.0,34786.0,12.0,31.0,47.0,3.0,5.0,6.0,-1.186823891,0.014660766
8.0,288.0,5.0,4.0,1.0,nan,35769.0,35803.0,0.0004,1436.07,1780.0,1050.0,1800.0,35830.0,12.0,31.0,47.0,3.0,5.0,6.0,-1.3082988070000001,0.000698132
8.0,288.0,5.0,4.0,1.0,nan,35772.0,35800.0,0.00033,1436.09,2495.0,1050.0,1800.0,36755.0,12.0,31.0,47.0,3.0,5.0,6.0,-1.46660017,0.00122173
